iati_identifier,title_narrative,reporting_org_narrative,description_narrative_xml_lang,description_narrative,recipient_country_code,recipient_region_code,location_name_narrative,activity_status_code,document_link_url,last_updated_datetime,activity_date_type,activity_date_iso_date,sector_code,sector_narrative,sector_vocabulary,tag_code,tag_narrative,tag_vocabulary,policy_marker_code,policy_marker_narrative,policy_marker_code,default_aid_type_code
GB-CHC-202918-KENC44,['ASAL support'],['Oxfam GB'],,"[""The project will support both food aid and a pilot cash intervention to 51,000 beneficiaries (approximately 8,000 households) in Turkana North (North and Turkana West districts) the Turkana Central (Central and Loima districts).  The pilot cash intervention to be implemented concurrently will target 5028 beneficiares.  Oxfam's role  will be to mobilise communities for the targeting exercise and community sensitization,  WFP will carry out monthly marketing monitoring and beneficiary verification.  Mobile Money Operatorss (Safaricom and Orange Money) will be responsible for beneficiary registry into the mobile services.""]",['KE'],,,3,,2022-09-02T09:04:35Z,"['2', '4']","['2014-04-01T00:00:00Z', '2016-03-31T00:00:00Z']","['1', '3']","['A Sustainable Livelihood', 'Life and Security']","['99', '99']",,,,,,,
GB-CHC-202918-KENC45,['Empowering women domestic casual workers to participate in decision making'],['Oxfam GB'],,"[""This project will generate appropriate information on the particular issues that affect the women who live in Nairobi City's informal settlements that rely on domestic casual employment for their livelihoods and utilize the information to organize these women to advocate for access to their rights. It will also equip them with responsive skills that will promote marketability and quality of the services they offer with increased and secure incomes with the aim of improving their livelihoods and their dependants.""]",['KE'],,,3,,2016-09-26T15:55:19Z,"['2', '4']","['2013-01-01T00:00:00Z', '2013-03-31T00:00:00Z']","['1', '4', '5']","['A Sustainable Livelihood', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC46,['Kenya 2013 Election Preparedness & Response Programme'],['Oxfam GB'],,['This project positions Oxfam to respond to humanitarian needs that would likely emerge in the event that the March 4th National Elections in Kenya are associated with the level of violence and displacement that typified 2007/08.'],['KE'],,,3,,2016-09-26T15:54:00Z,"['2', '4']","['2013-03-01T00:00:00Z', '2013-06-30T00:00:00Z']",['3'],['Life and Security'],['99'],,,,,,,
GB-CHC-202918-KENC47,"['Millenium Development Goals Water and Sanitation project, Turkana, Kenya']",['Oxfam GB'],,"['Oxfam is lead agency in a consortium of 3 partners including 2 INGOs Practical Action, International Rescue Committee and a local partner, Rift Valley Water Services Board implementing a 3 yr EU funded consortium to contribute towards Kenya achieving its MDG targets for water and sanitation in Turkana District.  A total of at least 66,050 people are expected to gain access to water and reduced risks of contracting diseases.']",['KE'],,,3,,2016-09-29T14:20:49Z,"['2', '4']","['2013-04-01T00:00:00Z', '2014-06-30T00:00:00Z']",['2'],['Education and Health Care'],['99'],,,,,,,
GB-CHC-202918-KENC48,['Improving climate change adaptive capacity and mitigation in Kenya'],['Oxfam GB'],,"[""The project seeks to undertake climate change research, awareness and education that will be used to inform climate change civil society frameworks of engagement established at the county and national levels (CSO's networks) from which Policy and Legislative advocacy will be advanced, thereby contributing to shaping the environment of climate change adaptation and mitigation in Kenya""]",['KE'],,,3,,2016-09-26T15:56:50Z,"['2', '4']","['2013-04-01T00:00:00Z', '2013-12-31T00:00:00Z']","['3', '4']","['Life and Security', 'Right to be Heard']","['99', '99']",,,,,,,
GB-CHC-202918-KENC49,['National advocacy and Campaigns - Kenya'],['Oxfam GB'],,"['This project is developed to support cross -cutting national advocacy and campaigns activities that touch directly on the Oxfam in Kenya programme work, it covers issues beyond one programme area. This financial year the activities will mainly be on supporting Civil Society Organisation advocacy activities on protecting the threatened CSO space in Kenya .']",['KE'],,,3,,2016-11-29T11:45:48Z,"['2', '4']","['2013-04-01T00:00:00Z', '2016-03-31T00:00:00Z']","['3', '4', '5']","['Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC50,['Urban programme support'],['Oxfam GB'],,"['The interventions in this project will involve capacity building of the women and youth, and members of Nairobi County Assembly on devolution, county governance, leadership and integrity, accountability mechanisms, planning, oversight and advocacy. The capacity will strengthen women and youth to better influence the local decision making, budgeting and laws making for approriate service delivery. For the Members of County Assembly, the capacity will strengthen their legislative and oversight functions to the citizens leading to enactment of responsive laws and effective implementation of the laws and services by the Executive.']",['KE'],,,3,,2022-09-02T10:26:25Z,"['2', '4']","['2013-04-01T00:00:00Z', '2017-03-31T00:00:00Z']","['4', '5']","['Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99']",,,,,,,
GB-CHC-202918-KENC51,['Kenya Urban Development Programme: Employment for Youth and Water for All'],['Oxfam GB'],,"['The project intends to alleviate the problems of extreme poverty in the urban informal settlements and inadequate service provision by generating employment and income through sustainable waste management and water services. It also envisages to build the capacities of the unemployed youths in the informal settlement and generate incomes through recycling waste and product development. Simultaneously the project intends to work closely with the Nairobi Water Company for clean, safe and affordable water provisions for the urban informal settlers.']",['KE'],,,3,,2016-09-26T15:56:06Z,"['2', '4']","['2013-04-01T00:00:00Z', '2014-03-31T00:00:00Z']","['1', '2']","['A Sustainable Livelihood', 'Education and Health Care']","['99', '99']",,,,,,,
GB-CHC-202918-KENC52,['Kerio Water Supply Project'],['Oxfam GB'],,"['Taking into consideration lessons from the pilot phase, the project seeks to create a sustainable household level toilet solution, complete with a profitable systematic collection and disposal system. This will create a healthy environment as well as create business opportunities for Jitegemee production, distribution and profitable waste collection. Experiments will also be carried out  on waste -energy conversion, and commercialization of the collection. Implementation will be in the Nairobi slum areas of Mukuru and Korogocho where Oxfam has had past sanitation projects, but will be open for up scaling to other areas.']",['KE'],,,3,,2016-09-26T15:57:28Z,"['2', '4']","['2013-08-14T00:00:00Z', '2013-10-14T00:00:00Z']","['1', '3']","['A Sustainable Livelihood', 'Life and Security']","['99', '99']",,,,,,,
GB-CHC-202918-KENC53,['Strengthening Resilience Emergency Preparedness and Resp. in Arid Lands of Kenya'],['Oxfam GB'],,"['Oxfam is the lead agency in a consortium with other 5 INGOs implementing Phase 3 aimed at building on the knowledge of programming experience from phase 2, and looking at the future 5 year strategy following this Phase 3.  The project will work with communities to enhance their capacities to anticipate, prepare and mitigate stresses and shocks; development of community contingency plans, animal health interventions, community water management, resource -based conflict mitigation, learning and advocacy to link community and county advocacy.']",['KE'],,,3,,2016-10-07T13:27:23Z,"['2', '4']","['2013-04-01T00:00:00Z', '2015-07-31T00:00:00Z']","['1', '3', '5']","['A Sustainable Livelihood', 'Life and Security', 'Right to Equity: Gender and Diversity']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC54,['Empowering casual women domestic workers to participate in decision making'],['Oxfam GB'],,"[""This project will generate appropriate information on the specific governance issues that affect women who live in Nairobi City's informal settlements and rely on domestic casual opportunities as their main livelihood sources. This information will be utilized to design responsive governance project that will provide these women with the necessary capacity to advocate and claim their status in local decision making processes. It will also equip them with responsive skills that will promote marketability and quality of the services they offer with increased incomes in order to improve their livelihoods and their dependants.""]",['KE'],,,3,,2016-11-29T11:46:21Z,"['2', '4']","['2013-04-01T00:00:00Z', '2013-08-31T00:00:00Z']","['1', '4', '5']","['A Sustainable Livelihood', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC55,['Sustainable Livelihoods through Value Chain Development for Pastoral Communities'],['Oxfam GB'],,"['Building markets through investment in business services and in trader/producer organizations; influencing government policies to support the development of markets; working with government, private sector and local communities to ensure the project is sustainable both environmentally and economically.']",['KE'],,,3,,2022-09-02T09:05:04Z,"['2', '4']","['2013-04-01T00:00:00Z', '2017-06-30T00:00:00Z']","['1', '2', '3', '4', '5']","['A Sustainable Livelihood', 'Education and Health Care', 'Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99', '99', '99']",,,,,,,
GB-CHC-202918-KENC56,['Turkana Community Engagement in Democratic Reforms in Kenya'],['Oxfam GB'],,"['To contribute to capacity building to Turkana County government to have institutions that are accountable, transparent, responsive and inclusive to deliver public services effectively.     To empower citizens in Turkana County to increasingly participate and to hold county governance institutions accountable     To do capacity building to Women in Turkana county to increasingly take up leadership positions and participate in political and socio -economic spheres of development.']",['KE'],,,3,,2016-09-26T15:58:13Z,"['2', '4']","['2013-04-01T00:00:00Z', '2015-05-15T00:00:00Z']","['4', '5']","['Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99']",,,,,,,
GB-CHC-202918-KENC57,['Fresh Life Toilets in Nairobi Informal Settlement Schools'],['Oxfam GB'],,['This project will provide much needed sanitation facilities for 10 primary schools within Mukuru informal settlement.  More importantly through support to a local private sector partner it seeks to explore a commercial business model for collection and recycling human waste which will provide livelihood opportunities and generate incentives for improved sanitation practices within informal settlements.'],['KE'],,,3,,2016-09-26T15:56:15Z,"['2', '4']","['2013-06-01T00:00:00Z', '2014-03-31T00:00:00Z']","['1', '2', '5']","['A Sustainable Livelihood', 'Education and Health Care', 'Right to Equity: Gender and Diversity']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC58,"['Strengthening Resilience and Emergency Preparedness In Arid Lands, Turkana']",['Oxfam GB'],,"['Oxfam is the lead agency in a consortium of 4 INGOs implementing phase 4 aimed at building on the knowledge of programming experience from phase 2 and 3, in the arid lands of Kenya The project will work with communities to enhance their capacities to anticipate, prepare and mitigate stresses and shocks; development of community contigency plans, animal health interventions, range land and community water management, and learning and advocacy to link community and county advocacy. Resource mobilise for the  5 -year strategy to strengthen ther own capacities in programming for resilience.']",['KE'],,,3,,2016-09-27T13:13:03Z,"['2', '4']","['2013-04-01T00:00:00Z', '2015-07-31T00:00:00Z']","['1', '3', '4', '5']","['A Sustainable Livelihood', 'Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99', '99']",,,,,,,
GB-CHC-202918-KENC59,"['Strengthening community resilience in Wajir, Kenya']",['Oxfam GB'],,"['This programme shall directly contribute and link to key functions under the National Disaster Management Authority (NDMA), to build the capacity of community, sub county, county planning structures to mainstream drought risk reduction and climate change adaptation, into development planning and resource allocation. This shall aim to directly contribute to drought management system to collate and harmonize early warning system information on livestock health surveillance systems in the specific area of interventions.']",['KE'],,,3,,2022-11-04T11:16:50Z,"['2', '4']","['2013-04-19T00:00:00Z', '2017-03-31T00:00:00Z']","['1', '3', '4']","['A Sustainable Livelihood', 'Life and Security', 'Right to be Heard']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC60,"['Food Distribution in Turkana North, Loima , Turkana West & Turkana Central']",['Oxfam GB'],,"['The  project  will support  both food aid intervention which is a continuation after a successful phases in the past.  The total beneficiaries for this project are 85,300 for  general food distribution. Food intervention shall be conducted in 4 cycles  - May, June, August and September 2014']",['KE'],,,3,,2016-10-07T13:27:45Z,"['2', '4']","['2013-06-01T00:00:00Z', '2014-09-30T00:00:00Z']",['3'],['Life and Security'],['99'],,,,,,,
GB-CHC-202918-KENC61,['Improving Water Access and resilience to Drought in Wajir'],['Oxfam GB'],,"['1) In four villages replace old, unsustainable diesel powered water systems with solar pumps providing more reliable and affordable water; 2) Partner with a private sector actor to pilot service level agreements as a business model for improving operation and maintenance; 3) Facilitate a stakeholder workshop to brainstorm on doing things differently to avoid future water crises.']",['KE'],,,3,,2016-09-29T14:44:28Z,"['2', '4']","['2013-06-10T00:00:00Z', '2014-07-15T00:00:00Z']","['1', '2', '3', '4', '5']","['A Sustainable Livelihood', 'Education and Health Care', 'Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99', '99', '99']",,,,,,,
GB-CHC-202918-KENC62,"['Supporting Alternative Livelihoods through Market and Trade in Turkana, Kenya']",['Oxfam GB'],,"['Fish distribution to vulnerable households via a voucher system; capacity building of traders and fishermen through training and exposure visits; supply of fishing gear and construction/improvement of drying facilities to improve on fish preservation; support Beach Management Units (BMUs) in the management of fisheries through training on fish handling and hygiene, preservation, marketing and environmental conservation.']",['KE'],,,3,,2016-09-29T14:43:43Z,"['2', '4']","['2013-04-01T00:00:00Z', '2013-11-30T00:00:00Z']","['1', '5']","['A Sustainable Livelihood', 'Right to Equity: Gender and Diversity']","['99', '99']",,,,,,,
GB-CHC-202918-KENC63,"['Strengthening Resilience and Emergency Preparedness in Arid Lands, Wajir']",['Oxfam GB'],,"['Oxfam a member of a  consortium of 3 INGOs implementing Phase 4 aimed at monitoring activities undertaken during phase 3 of the project. The project will work with communities to monitor the benefits of their built capacities to anticipate, prepare and mitigate stresses and shocks. Community contingency plans will be reviewed and strengthened so as to have it in line with changed context over the last phase 3 period. It will also link the target communities to County advocacy based on the project learning.']",['KE'],,,3,,2016-09-29T14:43:01Z,"['2', '4']","['2013-04-01T00:00:00Z', '2015-04-30T00:00:00Z']","['1', '3', '4']","['A Sustainable Livelihood', 'Life and Security', 'Right to be Heard']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC64,['Monitoring of Strategic water points for drought early warning in Kenya'],['Oxfam GB'],,"['The project will develop a monitoring system for water systems (availability, supply/demand, and market indicators) as part of an early warning system for drought within Kenya.  The objective is to establish trigger levels that will mark the transition into drought conditions, allowing for a timelier drought response.']",['KE'],,,3,,2016-11-29T11:46:47Z,"['2', '4']","['2013-07-01T00:00:00Z', '2014-09-30T00:00:00Z']",['3'],['Life and Security'],['99'],,,,,,,
GB-CHC-202918-KENC65,"[""Advancing Inclusive and Sustainable Management of Kenya's Emerging Oil Sector""]",['Oxfam GB'],,['This project will empower and nurture women and youth in Nairobi informal settlements to actively influence their local decision making processes by getting organized and participating in the available opportunities in order to realize responsive services.'],['KE'],,,3,,2016-12-13T09:04:11Z,"['2', '4']","['2013-07-01T00:00:00Z', '2015-09-30T00:00:00Z']","['3', '4']","['Life and Security', 'Right to be Heard']","['99', '99']",,,,,,,
GB-CHC-202918-KENC66,['Improving Access to Water and Sanitation Services in Kenya'],['Oxfam GB'],,"['This project will empower poor and vulnerable women who live in Mukuru informal settlement to influence implementation of responsive decisions by the local governance institutions especially Nairobi City County Government. Likewise, the project will increase the number of these vulnerable women with profitable and sustainable small businesses through equipping them with entrepreneurship skills and credit facilities to enable them improve their businesses or establish new one']",['KE'],,,3,,2022-09-02T09:05:36Z,"['2', '4']","['2014-04-01T00:00:00Z', '2017-03-31T00:00:00Z']","['1', '2', '3', '4', '5']","['A Sustainable Livelihood', 'Education and Health Care', 'Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99', '99', '99']",,,,,,,
GB-CHC-202918-KENC67,['WASH Results Programme (SWIFT) - Kenya'],['Oxfam GB'],,"['Through a consortium of 6 agencies (Oxfam, Practical Action, Concern, Water & Sanitation for the Urban Poor, BBC Media Action and Sanergy Inc.) plus additional local partners this project aims to contribute towards Kenya meetings its Millennium Development Goal (MDG) targets for water and sanitation by focusing in four Counties of Kenya.']",['KE'],,,3,,2022-11-04T11:32:50Z,"['2', '4']","['2014-04-07T00:00:00Z', '2018-03-31T00:00:00Z']","['1', '2', '3', '4', '5']","['A Sustainable Livelihood', 'Education and Health Care', 'Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99', '99', '99']",,,,,,,
GB-CHC-202918-KENC69,['Shifting the Power Project'],['Oxfam GB'],,"[""This project focuses on preparedness activities to ensure that Oxfam Kenya is able to prepare and where necessary respond to humanitarian crises, principally within Oxfam's operational areas of Turkana and Wajir but where necessary in other parts of Kenya.  Activities will include training and capacity building for staff and partners, review of contingency plan and development of preparedness measures.""]",['KE'],,,3,,2022-11-04T11:54:11Z,"['2', '4']","['2014-04-01T00:00:00Z', '2018-03-31T00:00:00Z']",['3'],['Life and Security'],['99'],,,,,,,
GB-CHC-202918-KENC70,['Promoting livelihoods and inclusion of vulnerable women in Urban Kenya'],['Oxfam GB'],,"['This project will increase livelihood opportunities and social support options of the urban women small scale traders and domestic workers, strengthen their equity and resilience, and empower them on their rights and to have collective voice. The project will additionally influence government and other stakeholders for increased responsiveness and efficiency in delivering services to urban women small scale traders and domestic workers in Kenya.']",['KE'],,,3,,2022-11-04T11:55:46Z,"['2', '4']","['2014-12-29T00:00:00Z', '2018-03-31T00:00:00Z']","['1', '4', '5']","['A Sustainable Livelihood', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC71,['Kenya community Land rights project'],['Oxfam GB'],,"['Empower target communities in Turkana and Tana River counties with skills, knowledge and information and to establish community led land rights mechanisms that will ensure that communities have more equitable and secure tenure over community lands and resources']",['KE'],,,3,,2022-11-04T11:58:11Z,"['2', '4']","['2014-10-01T00:00:00Z', '2016-09-30T00:00:00Z']","['3', '4', '5']","['Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC72,['Sanitation in informal settlement schools (WASH Innovation Fund)'],['Oxfam GB'],,"['Through this project 50 toilets will be constructed in 10 -15 schools reaching appropximately 2,800 children and their teachers.  Access to sanitation will contribute towards increased enrolement as well as access to basic services. As an additional component this project will develop and take to production a self contained in home urine diversion toilet.']",['KE'],,,3,,2022-09-02T09:06:51Z,"['2', '4']","['2014-08-01T00:00:00Z', '2017-03-31T00:00:00Z']","['1', '2', '5']","['A Sustainable Livelihood', 'Education and Health Care', 'Right to Equity: Gender and Diversity']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC74,['La Nina Consortium V - National Coordination'],['Oxfam GB'],,"[""Oxfam is the lead agency of an established consortium of 5 INGOs (Oxfam, Concern Worldwide, VSF -Germany, ACTED and Transparency International Kenya) and their local partners who have knowledge and experience in Arid Lands and resilience programming. The consortium will follow up on the CMDRR process initiated during phase 3 with 92 communities across 6 Arid and Semi Arid Lands' Counties, to build their capacity and linkages with relevant stakeholders to fund their Community Disaster Management Plans (CDMPs), work closely with NDMA and county governments to support in enhancing their capacities and develop functional Early Warning Systems, and conduct ground -based advocacy and campaigns.""]",['KE'],,,3,,2022-11-04T12:01:26Z,"['2', '4']","['2015-04-01T00:00:00Z', '2017-03-31T00:00:00Z']",['1'],['A Sustainable Livelihood'],['99'],,,,,,,
GB-CHC-202918-KENC75,"['Strengthening Resilience of the population living in Arid Lands, Turkana Kenya']",['Oxfam GB'],,"['Strengthening Resilience of the population living in Arid Lands, Turkana Kenya']",['KE'],,,3,,2022-11-04T12:05:46Z,"['2', '4']","['2015-04-01T00:00:00Z', '2016-05-31T00:00:00Z']","['1', '3', '4', '5']","['A Sustainable Livelihood', 'Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99', '99']",,,,,,,
GB-CHC-202918-KENC76,"[""'Strengthening Resilience of the population living in the Arid Lands of Kenya""]",['Oxfam GB'],,"['This phase of the ECHO La Nina project will be implemented in Wajir Oxfam GB in partnership with two LNGO partners namely; ALDEF and WASDA who will directly implement activities with the target communities in the County.  These partners have experience in resilience programming, Emergency Preparedness and Response, particular within the Wajir context. This phase builds on 4 previous phases of DG ECHO investment and aims at strengthening the resilience of people in the ASALs, especially women and children, and county structures to better cope and respond to climate shocks and stress.    The Programme will consolidate outputs and outcomes realized through the most recent ECHO -funded project which ended in March 2015. The action is in line with the wider consortium five -year resilience strategy through the improvement and integration of community and county early warning systems that can trigger emergency responses. The action will also continue to strengthen the Community Disaster Management Committees (CDMCs) and particularly build linkages between the CDMCs and relevant stakeholder including County structures to implement their Community Disaster Management Plans (CDMPs). Finally, the action will strengthen the voices of the communities with ground -based advocacy and campaigns.    The action aims at achieving the following three results  1. Strengthened structures/systems for timely, reliable and relevant Early warning information to effectively trigger Early Action within the County  2. Strengthened stakeholder linkages at different levels to support communities/County to plan, prepare and respond to shocks and stresses.  3. Wajir partner (including Oxfam) with capacity to influence emergency and resilience agenda at county level    The action will be implemented in Wajir County as part of wider ASALs (Turkana, Mandera, Wajir, Marsabit, Samburu, Baringo, West Pokot), a region that has suffered from recurrent droughts and extreme climatic conditions with devastating']",['KE'],,,3,,2022-11-04T12:08:51Z,"['2', '4']","['2015-04-01T00:00:00Z', '2017-03-31T00:00:00Z']","['1', '3', '4', '5']","['A Sustainable Livelihood', 'Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99', '99']",,,,,,,
GB-CHC-202918-KENC77,"['Increasing women participation and representation in 2017 Elections, Kenya']",['Oxfam GB'],,"['Support research, training, mobilization of men and women to get IDs, monitor legislation framework, education and outreach campaigns, media campaigns.']",['KE'],,,3,,2022-11-04T12:14:06Z,"['2', '4']","['2015-12-02T00:00:00Z', '2018-03-31T00:00:00Z']",['5'],['Right to Equity: Gender and Diversity'],['99'],,,,,,,
